module commands emits sql_toSer clones lines
src-tauri/src/adapters/ 0 0 0 7 2435
src-tauri/src/anki_service/ 0 0 0 0 41
src-tauri/src/chat_v2/ 80 39 251 182 86045
src-tauri/src/cloud_storage/ 14 1 0 1 3882
src-tauri/src/cmd/ 169 6 14 16 7783
src-tauri/src/crypto/ 0 0 0 3 514
src-tauri/src/data_governance/ 45 39 330 29 44474
src-tauri/src/database/ 0 0 455 41 8938
src-tauri/src/dstu/ 54 2 35 18 15767
src-tauri/src/essay_grading/ 20 4 0 4 2884
src-tauri/src/llm_manager/ 0 42 1 29 21205
src-tauri/src/llm_usage/ 7 0 37 0 3160
src-tauri/src/local_api/ 3 0 17 0 1403
src-tauri/src/mcp/ 0 11 0 5 5148
src-tauri/src/memory/ 36 0 32 5 7587
src-tauri/src/multimodal/ 0 0 50 1 6553
src-tauri/src/ocr_adapters/ 0 0 0 0 2763
src-tauri/src/providers/ 0 0 0 3 2507
src-tauri/src/qbank_grading/ 2 4 8 0 829
src-tauri/src/research/ 0 0 0 14 788
src-tauri/src/services/ 0 0 0 0 6
src-tauri/src/test_utils/ 0 0 0 0 171
src-tauri/src/tools/ 0 2 0 2 4259
src-tauri/src/translation/ 4 5 0 0 940
src-tauri/src/utils/ 0 1 0 0 1667
src-tauri/src/vendors/ 0 0 0 0 176
src-tauri/src/vfs/ 129 26 1105 81 58616
ROOT 195 64 238 98 64737
